index,Years,Contry,Migration,Energy_access,Life_expectancy,GDP_per_capita,Total_unemployment
34,YR2004,Paraguay,-40910.0,93.249876,70.481,1776.93225816866,6.51
35,YR2004,Peru,-194133.0,75.692357,72.668,2393.66589710452,4.71
36,YR2004,Bolivia,-15173.0,75.865852355957,64.004,951.951622939377,2.503
37,YR2004,Uruguay,-15661.0,97.9553527832031,76.007,4130.1001146777,12.98
38,YR2004,Brazil,-5390.0,96.765107,71.131,3623.22390486815,10.07
39,YR2004,Chile,11515.0,97.5337295532227,77.616,6185.51479184893,10.16
40,YR2004,Argentina,-22336.0,96.50537109375,74.855,4258.16026060875,13.52
41,YR2004,Colombia,-25907.0,95.2788009643555,72.695,2811.45945015998,13.72
42,YR2005,Costa Rica,7022.0,99.053051,78.505,4643.45856992587,6.57
43,YR2005,United States,1129462.0,100.0,77.4878048780488,44123.4070679055,5.08
44,YR2005,Canada,204710.0,100.0,80.1126829268293,36382.5079164537,6.76
45,YR2005,Mexico,-318048.0,98.932728,74.376,8321.85985639121,3.56
46,YR2005,"Venezuela, RB",-18400.0,98.7767562866211,72.782,5456.32242533255,10.66
47,YR2005,Ecuador,-16816.0,95.83265,74.514,3014.3100093159,3.78
48,YR2005,Paraguay,-42163.0,94.686886,70.527,1960.51476554933,4.82
49,YR2005,Peru,-221582.0,77.173645,72.986,2702.23770075461,4.87
50,YR2005,Bolivia,-14657.0,68.288209,64.386,1018.31366190632,2.543
51,YR2005,Uruguay,-16092.0,98.0474090576172,76.194,5233.45717058668,12.01
52,YR2005,Brazil,-42926.0,97.093513,71.753,4773.26848028038,10.55
53,YR2005,Chile,14336.0,97.6824645996094,78.016,7561.8305480446,9.34
54,YR2005,Argentina,-21961.0,96.7252655029297,75.139,5086.62776073134,11.51
55,YR2005,Colombia,-41348.0,96.8,73.081,3448.53827356214,11.87
56,YR2006,Costa Rica,6651.0,99.147523,78.514,5188.36179215965,5.74
57,YR2006,United States,1113259.0,100.0,77.6878048780488,46302.0008800056,4.62
58,YR2006,Canada,202483.0,100.0,80.5436585365854,40504.0607253203,6.32
59,YR2006,Mexico,-312270.0,99.11416,74.331,9125.3877388645,3.57
60,YR2006,"Venezuela, RB",-27239.0,99.3,72.742,6769.86841430715,8.61
61,YR2006,Ecuador,-12621.0,96.315259,74.689,3340.84090289849,3.55
62,YR2006,Paraguay,-44565.0,96.749045,70.781,2426.41709770871,5.28
63,YR2006,Peru,-231739.0,80.157275,73.172,3123.32015935927,4.17
64,YR2006,Bolivia,-14110.0,76.211281,64.779,1200.06809196654,2.575
65,YR2006,Uruguay,-13159.0,98.505426,76.362,5942.1266667126,10.84
66,YR2006,Brazil,-34007.0,97.594314,72.037,5866.02431314405,9.69
67,YR2006,Chile,17348.0,99.368108,78.261,9418.0627175215,9.02
68,YR2006,Argentina,-19958.0,96.9644088745117,75.433,5890.97800169795,10.08
69,YR2006,Colombia,-39142.0,95.7262268066406,73.468,3782.60350413031,10.963
70,YR2007,Costa Rica,6273.0,99.217998,78.462,6055.08677891562,4.49
71,YR2007,United States,1108509.0,100.0,77.9878048780488,48050.2237771135,4.62
72,YR2007,Canada,210817.0,100.0,80.5436585365854,44659.8951408034,6.04
73,YR2007,Mexico,-309663.0,97.9146041870117,74.238,9719.9278639964,3.63
74,YR2007,"Venezuela, RB",-36052.0,98.8523712158203,73.058,8369.23526829668,7.28
75,YR2007,Ecuador,-9625.0,96.812618,74.844,3579.03224391806,3.14
76,YR2007,Paraguay,-45914.0,96.452771,71.106,3194.26298162817,4.71
77,YR2007,Peru,-236705.0,81.988131,73.223,3572.36358879114,4.08
78,YR2007,Bolivia,-13667.0,80.156567,65.027,1351.03515410788,2.643
79,YR2007,Uruguay,-10752.0,98.692636,76.498,7149.37463386796,9.4
80,YR2007,Brazil,-30331.0,98.125382,72.365,7323.19034003928,9.28
81,YR2007,Chile,20188.0,98.0392684936523,77.826,10461.3660887507,8.43
82,YR2007,Argentina,-18051.0,97.2243957519531,75.006,7210.59554755899,8.47
83,YR2007,Colombia,-49575.0,95.9804077148438,73.837,4762.08297292255,10.25
84,YR2008,Costa Rica,5833.0,99.263937,78.445,6841.91145979684,4.78
85,YR2008,United States,1095864.0,100.0,78.0390243902439,48570.0459804586,5.78
86,YR2008,Canada,237962.0,100.0,80.7246341463415,46710.5055759013,6.14
87,YR2008,Mexico,-321847.0,98.914037,74.152,10119.8210567984,3.87
88,YR2008,"Venezuela, RB",-43636.0,98.9178161621094,72.436,11310.7781703527,6.25
89,YR2008,Ecuador,-8776.0,97.206576,74.983,4260.43318396471,3.92
90,YR2008,Paraguay,-44677.0,96.677896,71.384,4360.42910071309,4.42
91,YR2008,Peru,-235263.0,84.678343,73.377,4184.88598248749,4.03
92,YR2008,Bolivia,-13417.0,84.674991,65.446,1687.57856734657,2.6
93,YR2008,Uruguay,-9460.0,98.784355,76.623,9328.06585662206,8.03
94,YR2008,Brazil,-35373.0,98.526625,72.715,8801.75947547502,8.27
95,YR2008,Chile,22516.0,98.2453155517578,78.484,10783.1708210632,9.29
96,YR2008,Argentina,-12450.0,97.5016021728516,75.641,8977.50685093365,7.84
97,YR2008,Colombia,-63246.0,96.806763,74.295,5534.68944688199,10.52
98,YR2009,Costa Rica,5283.0,99.409804,78.672,6737.86075359038,7.71
99,YR2009,United States,1031010.0,100.0,78.390243902439,47194.9433547336,9.25
100,YR2009,Canada,240878.0,100.0,81.0660975609756,40876.3101540295,8.34
101,YR2009,Mexico,-289132.0,98.2967987060547,74.119,8104.92257319862,5.36
102,YR2009,"Venezuela, RB",-50286.0,98.9966583251953,72.579,11641.7991472317,6.1
103,YR2009,Ecuador,-8487.0,96.470862,75.184,4240.70259271564,4.61
104,YR2009,Paraguay,-40108.0,96.891335,71.635,3920.18607347104,5.46
105,YR2009,Peru,-219304.0,86.42432,73.466,4164.97048299155,3.96
106,YR2009,Bolivia,-13056.0,86.765597,65.88,1725.14628617645,2.97
107,YR2009,Uruguay,-8510.0,99.1,76.738,9780.73947340076,7.74
108,YR2009,Brazil,-29357.0,98.856938,72.948,8569.90180523381,9.42
109,YR2009,Chile,24330.0,99.593662,78.741,10182.8605646819,11.31
110,YR2009,Argentina,-7869.0,97.7922058105469,75.936,8184.38988923991,8.65
111,YR2009,Colombia,-46902.0,96.057229,74.742,5245.9516649172,11.32
112,YR2010,Costa Rica,4728.0,98.995734,78.67,8147.24398481032,7.17
113,YR2010,United States,1030731.0,100.0,78.5414634146342,48650.6431283336,9.63
114,YR2010,Canada,227724.0,100.0,81.3221951219512,47562.0834253057,8.06
115,YR2010,Mexico,-41156.0,99.236696,74.19,9399.96470859669,5.3
116,YR2010,"Venezuela, RB",-52784.0,99.0850448608398,72.89,13692.9149666211,7.11
117,YR2010,Ecuador,-8315.0,97.462142,75.43,4640.24634437845,4.09
118,YR2010,Paraguay,-26173.0,97.43086,71.887,4702.91576988272,4.57
